export,r_source_file,r_args,python_signature,implemented,python_test_reference,r_test_reference,rd_reference,vignette_reference
add_gazepoint_decision,analysis-decision-log.R,"log, stage, object_type, object_id = NA_character_, decision, reason = NA_character_, function_name = NA_character_, parameter = NA_character_, value = NA_character_, reviewer_note = NA_character_, timestamp = Sys.time()","(log, stage, object_type, decision, object_id=None, reason=None, function_name=None, parameter=None, value=None, reviewer_note=None, timestamp=None)",True,True,True,True,True
align_gazepoint_biometrics_to_ttl,ttl-alignment.R,"data, ttl_cols = NULL, event_col = NULL, ttl_valid_col = NULL, time_col = NULL, sample_col = NULL, group_cols = NULL, participant_col = NULL, stimulus_col = NULL, trial_col = NULL, event_value = NULL, valid_values = c(TRUE, 1, ""1""), event_edge = c(""rising"", ""change"", ""active""), pre_window_ms = 1000, post_window_ms = 5000, pre_window_samples = NULL, post_window_samples = NULL, collapse_nearby_ms = 0, require_valid_ttl = TRUE","(data, ttl_cols=None, event_col=None, ttl_valid_col=None, time_col=None, sample_col=None, group_cols=None, participant_col=None, stimulus_col=None, trial_col=None, event_value=None, valid_values=(True, 1, '1'), event_edge='rising', pre_window_ms=1000, post_window_ms=5000, pre_window_samples=None, post_window_samples=None, collapse_nearby_ms=0, require_valid_ttl=True)",True,True,True,True,True
align_gazepoint_streams_by_events,alignment-aoi-eventlocked-dashboard.R,"reference, target, reference_events, target_events, reference_time_col = NULL, target_time_col = NULL, reference_event_time_col = NULL, target_event_time_col = NULL, event_id_col = NULL, method = c(""linear"", ""offset""), include_streams = TRUE","(reference, target, reference_events, target_events, reference_time_col=None, target_time_col=None, reference_event_time_col=None, target_event_time_col=None, event_id_col=None, method='linear', include_streams=True)",True,True,True,True,True
align_gazepoint_to_eeg,mne-eeg-lsl-interoperability.R,"gazepoint, gazepoint_events, eeg_events, gazepoint_time_col = NULL, gazepoint_event_time_col = NULL, eeg_event_time_col = NULL, eeg_event_sample_col = NULL, gazepoint_event_id_col = NULL, eeg_event_id_col = NULL, gazepoint_time_unit = c( ""auto"", ""seconds"", ""milliseconds"", ""samples"" ), eeg_time_unit = c( ""auto"", ""seconds"", ""milliseconds"", ""samples"" ), eeg_sampling_rate_hz = NULL, method = c(""offset"", ""linear""), match_by = c(""auto"", ""id"", ""row""), robust = TRUE, maximum_residual_s = NULL, residual_action = c(""error"", ""allow""), output_col = ""time_eeg_s""","(gazepoint, gazepoint_events, eeg_events, gazepoint_time_col=None, gazepoint_event_time_col=None, eeg_event_time_col=None, eeg_event_sample_col=None, gazepoint_event_id_col=None, eeg_event_id_col=None, gazepoint_time_unit='auto', eeg_time_unit='auto', eeg_sampling_rate_hz=None, method='offset', match_by='auto', robust=True, maximum_residual_s=None, residual_action='error', output_col='time_eeg_s')",True,True,True,True,True
analyze_gazepoint_ac_susceptance,ac-eda-susceptance.R,"dat, conductance_col = NULL, susceptance_col = NULL, admittance_col = NULL, phase_col = NULL, frequency_col = NULL, time_col = NULL, group_cols = NULL","(dat, conductance_col=None, susceptance_col=None, admittance_col=None, phase_col=None, frequency_col=None, time_col=None, group_cols=None)",True,True,True,True,False
analyze_gazepoint_cardiorespiratory_causality,cardiorespiratory-causality.R,"dat, respiration_col, cardiac_col, time_col = NULL, group_cols = NULL, lag_order = 3, min_rows = 30, standardise = TRUE","(dat, respiration_col, cardiac_col, time_col=None, group_cols=None, lag_order=3, min_rows=30, standardise=True)",True,True,True,True,False
analyze_gazepoint_skin_potential,advanced-modality-bridges.R,"dat, sp_col, time_col, group_cols = NULL, response_direction = c(""both"", ""positive"", ""negative""), response_threshold = NULL, min_response_distance_s = 1","(dat, sp_col, time_col, group_cols=None, response_direction='both', response_threshold=None, min_response_distance_s=1)",True,True,True,True,False
anonymize_gazepoint_data,reproducibility-simulation.R,"data, id_cols, prefix = ""P"", width = 3, keep_mapping = TRUE","(data, id_cols, prefix='P', width=3, keep_mapping=True)",True,True,True,True,False
assert_gazepoint_columns,roadmap-remaining-helpers.R,"data, required, optional = character(), mode = c(""error"", ""warning"", ""summary""), ignore_case = TRUE","(data, required, optional=(), mode='error', ignore_case=True)",True,True,True,True,True
assess_gazepoint_hrp_waveform_quality,pyppg-hrp-support.R,"data, hrp_col = NULL, time_col = NULL, group_cols = NULL, sampling_rate = NULL, time_unit = c(""auto"", ""ms"", ""seconds"", ""samples""), min_rows = 20, min_finite_prop = 0.80, max_flat_prop = 0.95, flat_tolerance = 1e-8, max_gap_multiplier = 3","(data, hrp_col=None, time_col=None, group_cols=None, sampling_rate=None, time_unit='auto', min_rows=20, min_finite_prop=0.8, max_flat_prop=0.95, flat_tolerance=1e-08, max_gap_multiplier=3)",True,True,True,True,False
assess_gazepoint_sampling_irregularity,roadmap-exact-backlog-helpers.R,"data, time_col = NULL, group_cols = NULL, nominal_rate_hz = NULL, large_gap_factor = 3","(data, time_col=None, group_cols=None, nominal_rate_hz=None, large_gap_factor=3)",True,True,True,True,True
